locus	genome	seqname	strand	start	end	chromosome
group1547	Thamnophis-elegans	NC_045555.1	+	32700001	32702603	15
group1548	Thamnophis-elegans	NC_045544.1	+	21621094	21639999	4
group1549	Thamnophis-elegans	NC_045542.1	-	122267753	122278584	2
group1550	Thamnophis-elegans	NC_045543.1	+	12480001	12484586	3
group1551	Thamnophis-elegans	NC_045546.1	+	633902	637030	6
group1552	Thamnophis-elegans	NC_045548.1	-	23220410	23231254	8
group1553	Thamnophis-elegans	NC_045545.1	+	24886866	24894906	5
group1554	Thamnophis-elegans	NC_045545.1	-	48000143	48019902	5
group1555	Thamnophis-elegans	NC_045544.1	+	105241920	105255324	4
group1556	Thamnophis-elegans	NC_045549.1	+	25124769	25139941	9
group1557	Thamnophis-elegans	NC_045551.1	+	20300002	20307399	11
group1558	Thamnophis-elegans	NC_045550.1	-	28245694	28252654	10
group1559	Thamnophis-elegans	NC_045545.1	+	74102983	74120000	5
group1560	Thamnophis-elegans	NC_045548.1	-	45900018	45904036	8
group1561	Thamnophis-elegans	NC_045541.1	+	82845495	82855516	1
group1562	Thamnophis-elegans	NC_045550.1	-	46212190	46213994	10
group1563	Thamnophis-elegans	NA	NA	NA	NA	NA
group1564	Thamnophis-elegans	NC_045549.1	+	300133	303962	9
group1565	Thamnophis-elegans	NC_045543.1	+	79426454	79431513	3
group1566	Thamnophis-elegans	NC_045548.1	+	39191013	39196630	8
group1567	Thamnophis-elegans	NC_045558.1	-	11329568	11336030	Z
group1568	Thamnophis-elegans	NC_045543.1	+	7062540	7074505	3
group1569	Thamnophis-elegans	NC_045551.1	-	33003805	33015448	11
group1570	Thamnophis-elegans	NC_045554.1	+	23765591	23780000	14
group1571	Thamnophis-elegans	NC_045553.1	+	47922106	47931214	13
group1572	Thamnophis-elegans	NC_045546.1	-	51800004	51803856	6
group1573	Thamnophis-elegans	NC_045542.1	+	35951907	35953574	2
group1574	Thamnophis-elegans	NC_045543.1	-	42150234	42159823	3
group1575	Thamnophis-elegans	NA	NA	NA	NA	NA
group1576	Thamnophis-elegans	NC_045549.1	+	58593339	58600000	9
group1577	Thamnophis-elegans	NC_045556.1	+	13721007	13740000	16
group1578	Thamnophis-elegans	NC_045543.1	+	49206805	49219600	3
group1579	Thamnophis-elegans	NC_045547.1	+	35222524	35232123	7
group1580	Thamnophis-elegans	NA	NA	NA	NA	NA
group1581	Thamnophis-elegans	NA	NA	NA	NA	NA
group1582	Thamnophis-elegans	NC_045542.1	-	111736287	111738415	2
group1583	Thamnophis-elegans	NC_045542.1	-	97247942	97259998	2
group1584	Thamnophis-elegans	NC_045551.1	+	70884061	70891388	11
group1585	Thamnophis-elegans	NC_045548.1	+	1508426	1519968	8
group1586	Thamnophis-elegans	NC_045550.1	+	43627322	43629681	10
group1587	Thamnophis-elegans	NC_045550.1	+	15109488	15119789	10
group1588	Thamnophis-elegans	NA	NA	NA	NA	NA
group1589	Thamnophis-elegans	NA	NA	NA	NA	NA
group1590	Thamnophis-elegans	NA	NA	NA	NA	NA
group1591	Thamnophis-elegans	NC_045543.1	+	129740002	129751761	3
group1592	Thamnophis-elegans	NC_045545.1	-	61533721	61540000	5
group1593	Thamnophis-elegans	NA	NA	NA	NA	NA
group1594	Thamnophis-elegans	NA	NA	NA	NA	NA
group1595	Thamnophis-elegans	NC_045542.1	-	92478701	92480000	2
group1596	Thamnophis-elegans	NC_045544.1	+	78191738	78196602	4
group1597	Thamnophis-elegans	NA	NA	NA	NA	NA
group1598	Thamnophis-elegans	NC_045541.1	-	30781648	30798411	1
group1599	Thamnophis-elegans	NA	NA	NA	NA	NA
group1600	Thamnophis-elegans	NA	NA	NA	NA	NA
group1601	Thamnophis-elegans	NC_045543.1	-	97400002	97411821	3
group1602	Thamnophis-elegans	NC_045543.1	-	95004704	95020000	3
group1603	Thamnophis-elegans	NC_045546.1	+	420001	423824	6
group1604	Thamnophis-elegans	NC_045542.1	-	27902427	27910647	2
group1605	Thamnophis-elegans	NC_045551.1	+	32706031	32719999	11
group1606	Thamnophis-elegans	NC_045546.1	+	53341419	53355229	6
group1607	Thamnophis-elegans	NC_045541.1	-	168478907	168480000	1
group1608	Thamnophis-elegans	NC_045542.1	+	42481794	42491125	2
group1609	Thamnophis-elegans	NC_045550.1	+	21891656	21893859	10
group1610	Thamnophis-elegans	NA	NA	NA	NA	NA
group1611	Thamnophis-elegans	NC_045541.1	+	10887329	10889588	1
group1612	Thamnophis-elegans	NC_045552.1	-	30865433	30880000	12
group1613	Thamnophis-elegans	NC_045545.1	+	41820107	41830687	5
group1614	Thamnophis-elegans	NC_045558.1	+	28304532	28319899	Z
group1615	Thamnophis-elegans	NC_045544.1	-	81901870	81911305	4
group1616	Thamnophis-elegans	NC_045542.1	+	99307463	99320000	2
group1617	Thamnophis-elegans	NA	NA	NA	NA	NA
group1618	Thamnophis-elegans	NC_045541.1	-	76700001	76703127	1
group1619	Thamnophis-elegans	NC_045547.1	-	535347	537765	7
group1620	Thamnophis-elegans	NA	NA	NA	NA	NA
group1621	Thamnophis-elegans	NC_045551.1	-	22991820	22997862	11
group1622	Thamnophis-elegans	NC_045551.1	-	24545713	24554878	11
group1623	Thamnophis-elegans	NC_045552.1	-	28760001	28779549	12
group1624	Thamnophis-elegans	NA	NA	NA	NA	NA
group1625	Thamnophis-elegans	NC_045545.1	+	26631678	26640000	5
group1626	Thamnophis-elegans	NC_045546.1	-	31280107	31286102	6
group1627	Thamnophis-elegans	NC_045542.1	-	21166871	21179979	2
group1628	Thamnophis-elegans	NA	NA	NA	NA	NA
group1629	Thamnophis-elegans	NC_045541.1	+	132980003	132995690	1
group1630	Thamnophis-elegans	NC_045544.1	-	54053975	54056938	4
group1631	Thamnophis-elegans	NC_045542.1	-	49440001	49447575	2
group1632	Thamnophis-elegans	NC_045548.1	+	26566969	26573773	8
group1633	Thamnophis-elegans	NC_045550.1	-	47142881	47151163	10
group1634	Thamnophis-elegans	NC_045543.1	+	83543852	83559995	3
group1635	Thamnophis-elegans	NC_045553.1	+	411853	420000	13
group1636	Thamnophis-elegans	NC_045541.1	-	101047141	101060000	1
group1637	Thamnophis-elegans	NC_045544.1	+	95143586	95155985	4
group1638	Thamnophis-elegans	NC_045545.1	+	44167587	44178133	5
group1639	Thamnophis-elegans	NC_045547.1	+	85220002	85234674	7
group1640	Thamnophis-elegans	NC_045558.1	-	127080001	127099497	Z
group1641	Thamnophis-elegans	NA	NA	NA	NA	NA
group1642	Thamnophis-elegans	NC_045541.1	+	128614990	128620000	1
group1643	Thamnophis-elegans	NC_045543.1	+	65220401	65239707	3
group1644	Thamnophis-elegans	NC_045543.1	-	88600001	88605658	3
group1645	Thamnophis-elegans	NC_045558.1	+	88385850	88399284	Z
group1646	Thamnophis-elegans	NC_045558.1	+	89066672	89074885	Z
group1647	Thamnophis-elegans	NA	NA	NA	NA	NA
group1648	Thamnophis-elegans	NC_045546.1	+	36192714	36199573	6
group1649	Thamnophis-elegans	NC_045553.1	-	50342829	50348140	13
group1650	Thamnophis-elegans	NC_045553.1	-	17655150	17660000	13
group1651	Thamnophis-elegans	NC_045541.1	-	94551503	94560000	1
group1652	Thamnophis-elegans	NC_045541.1	-	46160001	46165889	1
group1653	Thamnophis-elegans	NA	NA	NA	NA	NA
group1654	Thamnophis-elegans	NC_045547.1	+	58347344	58353484	7
group1655	Thamnophis-elegans	NC_045551.1	+	7257678	7260000	11
group1656	Thamnophis-elegans	NC_045548.1	+	30160129	30167895	8
group1657	Thamnophis-elegans	NA	NA	NA	NA	NA
group1658	Thamnophis-elegans	NA	NA	NA	NA	NA
group1659	Thamnophis-elegans	NC_045554.1	+	37406476	37419988	14
group1660	Thamnophis-elegans	NA	NA	NA	NA	NA
group1661	Thamnophis-elegans	NC_045554.1	+	23206740	23212564	14
group1662	Thamnophis-elegans	NC_045556.1	-	27147052	27160000	16
group1663	Thamnophis-elegans	NC_045545.1	+	54683465	54685217	5
group1664	Thamnophis-elegans	NC_045545.1	+	52543763	52548381	5
group1665	Thamnophis-elegans	NC_045544.1	-	87580001	87580921	4
group1666	Thamnophis-elegans	NC_045552.1	-	1920020	1921744	12
group1667	Thamnophis-elegans	NA	NA	NA	NA	NA
group1668	Thamnophis-elegans	NC_045549.1	-	40570105	40572543	9
group1669	Thamnophis-elegans	NC_045553.1	+	35724751	35736010	13
group1670	Thamnophis-elegans	NC_045548.1	+	37020001	37021433	8
group1671	Thamnophis-elegans	NC_045548.1	-	5980012	5993720	8
group1672	Thamnophis-elegans	NC_045543.1	-	37831807	37839777	3
group1673	Thamnophis-elegans	NC_045543.1	-	42640273	42653922	3
group1674	Thamnophis-elegans	NC_045542.1	+	2098395	2099996	2
group1675	Thamnophis-elegans	NC_045554.1	-	720076	732418	14
group1676	Thamnophis-elegans	NC_045550.1	-	2601553	2609306	10
group1677	Thamnophis-elegans	NC_045558.1	+	49996483	50000000	Z
group1678	Thamnophis-elegans	NC_045544.1	-	77860085	77868817	4
group1679	Thamnophis-elegans	NA	NA	NA	NA	NA
group1680	Thamnophis-elegans	NC_045541.1	-	52823594	52839870	1
group1681	Thamnophis-elegans	NA	NA	NA	NA	NA
group1682	Thamnophis-elegans	NC_045541.1	+	108695424	108697767	1
group1683	Thamnophis-elegans	NA	NA	NA	NA	NA
group1684	Thamnophis-elegans	NC_045544.1	+	69720001	69739925	4
group1685	Thamnophis-elegans	NC_045544.1	+	72575793	72579955	4
group1686	Thamnophis-elegans	NC_045556.1	+	32920001	32931401	16
group1687	Thamnophis-elegans	NA	NA	NA	NA	NA
group1688	Thamnophis-elegans	NC_045542.1	+	28672053	28680000	2
group1689	Thamnophis-elegans	NC_045542.1	+	28426104	28434065	2
group1690	Thamnophis-elegans	NC_045544.1	-	26643437	26659592	4
group1691	Thamnophis-elegans	NA	NA	NA	NA	NA
group1692	Thamnophis-elegans	NC_045544.1	+	110720410	110730622	4
group1693	Thamnophis-elegans	NC_045541.1	-	13940161	13956712	1
group1694	Thamnophis-elegans	NC_045552.1	+	29920001	29926768	12
group1695	Thamnophis-elegans	NC_045550.1	-	17627045	17639999	10
group1696	Thamnophis-elegans	NC_045546.1	-	65120001	65139850	6
group1697	Thamnophis-elegans	NC_045558.1	-	144460001	144468434	Z
group1698	Thamnophis-elegans	NA	NA	NA	NA	NA
group1699	Thamnophis-elegans	NC_045548.1	-	39046280	39049841	8
group1700	Thamnophis-elegans	NC_045548.1	+	40353385	40359999	8
group1701	Thamnophis-elegans	NA	NA	NA	NA	NA
group1702	Thamnophis-elegans	NC_045543.1	-	66726995	66739695	3
group1703	Thamnophis-elegans	NC_045558.1	-	12042004	12046895	Z
group1704	Thamnophis-elegans	NC_045558.1	-	12801356	12815944	Z
group1705	Thamnophis-elegans	NA	NA	NA	NA	NA
group1706	Thamnophis-elegans	NC_045542.1	-	22570444	22579999	2
group1707	Thamnophis-elegans	NC_045542.1	-	64563131	64565240	2
group1708	Thamnophis-elegans	NA	NA	NA	NA	NA
group1709	Thamnophis-elegans	NC_045542.1	-	62690605	62696755	2
group1710	Thamnophis-elegans	NC_045544.1	-	23168633	23180000	4
group1711	Thamnophis-elegans	NC_045541.1	+	132130572	132132692	1
group1712	Thamnophis-elegans	NC_045552.1	-	54940672	54952475	12
group1713	Thamnophis-elegans	NC_045547.1	-	25392873	25399259	7
group1714	Thamnophis-elegans	NC_045545.1	+	72625337	72639621	5
group1715	Thamnophis-elegans	NC_045546.1	-	46273196	46280000	6
group1716	Thamnophis-elegans	NC_045542.1	+	59740098	59758863	2
group1717	Thamnophis-elegans	NC_045551.1	+	9640675	9650350	11
group1718	Thamnophis-elegans	NC_045547.1	+	45422021	45438896	7
group1719	Thamnophis-elegans	NC_045553.1	-	700008	712649	13
group1720	Thamnophis-elegans	NC_045552.1	+	37748042	37759995	12
group1721	Thamnophis-elegans	NC_045545.1	-	23289076	23298020	5
group1722	Thamnophis-elegans	NC_045550.1	-	26912484	26920000	10
group1723	Thamnophis-elegans	NC_045553.1	+	26780120	26789155	13
group1724	Thamnophis-elegans	NC_045542.1	+	65265422	65280000	2
group1725	Thamnophis-elegans	NC_045554.1	-	20640001	20646471	14
group1726	Thamnophis-elegans	NC_045545.1	+	3240001	3260000	5
group1727	Thamnophis-elegans	NC_045541.1	+	156660001	156672833	1
group1728	Thamnophis-elegans	NC_045542.1	-	80286902	80300000	2
group1729	Thamnophis-elegans	NA	NA	NA	NA	NA
group1730	Thamnophis-elegans	NA	NA	NA	NA	NA
group1731	Thamnophis-elegans	NA	NA	NA	NA	NA
group1732	Thamnophis-elegans	NC_045554.1	-	49205837	49213730	14
group1733	Thamnophis-elegans	NC_045551.1	-	41884235	41887051	11
group1734	Thamnophis-elegans	NA	NA	NA	NA	NA
group1735	Thamnophis-elegans	NC_045544.1	+	118843907	118846881	4
group1736	Thamnophis-elegans	NC_045542.1	+	162060244	162079871	2
group1737	Thamnophis-elegans	NC_045544.1	-	103186333	103199240	4
group1738	Thamnophis-elegans	NC_045541.1	-	65904297	65912575	1
group1739	Thamnophis-elegans	NC_045547.1	+	18649941	18659999	7
group1740	Thamnophis-elegans	NC_045543.1	-	33540002	33544695	3
group1741	Thamnophis-elegans	NC_045558.1	+	112745672	112751067	Z
group1742	Thamnophis-elegans	NC_045558.1	+	24960001	24962570	Z
group1743	Thamnophis-elegans	NC_045542.1	+	10260001	10272319	2
group1744	Thamnophis-elegans	NC_045552.1	-	18840001	18847939	12
group1745	Thamnophis-elegans	NC_045541.1	-	118460816	118475865	1
group1746	Thamnophis-elegans	NC_045541.1	-	82744421	82755156	1
group1747	Thamnophis-elegans	NC_045556.1	-	15883080	15899033	16
group1748	Thamnophis-elegans	NC_045558.1	-	480002	496293	Z
group1749	Thamnophis-elegans	NC_045542.1	+	161462612	161479966	2
group1750	Thamnophis-elegans	NC_045546.1	+	68667303	68679281	6
group1751	Thamnophis-elegans	NC_045542.1	+	156160393	156177497	2
group1752	Thamnophis-elegans	NC_045542.1	+	26645279	26660000	2
group1753	Thamnophis-elegans	NC_045557.1	+	9233272	9240000	17
group1754	Thamnophis-elegans	NC_045557.1	+	3740002	3749902	17
group1755	Thamnophis-elegans	NC_045542.1	+	145561947	145571922	2
group1756	Thamnophis-elegans	NC_045542.1	+	26513402	26516633	2
group1757	Thamnophis-elegans	NC_045546.1	-	24240001	24249873	6
group1758	Thamnophis-elegans	NC_045546.1	+	77520001	77534574	6
group1759	Thamnophis-elegans	NC_045552.1	+	54863974	54874072	12
group1760	Thamnophis-elegans	NC_045551.1	-	5020001	5037729	11
group1761	Thamnophis-elegans	NC_045549.1	+	77340001	77347309	9
group1762	Thamnophis-elegans	NC_045548.1	-	42840001	42848315	8
group1763	Thamnophis-elegans	NC_045545.1	+	66640001	66643718	5
group1764	Thamnophis-elegans	NC_045555.1	+	25180004	25185761	15
group1765	Thamnophis-elegans	NC_045542.1	-	171682779	171694587	2
group1766	Thamnophis-elegans	NC_045552.1	-	7349958	7359999	12
group1767	Thamnophis-elegans	NA	NA	NA	NA	NA
group1768	Thamnophis-elegans	NC_045551.1	+	5963512	5980000	11
group1769	Thamnophis-elegans	NC_045552.1	-	19000154	19008790	12
group1770	Thamnophis-elegans	NC_045553.1	+	50560012	50566922	13
group1771	Thamnophis-elegans	NC_045543.1	-	148900003	148919116	3
group1772	Thamnophis-elegans	NC_045555.1	-	2080359	2095697	15
group1773	Thamnophis-elegans	NC_045553.1	-	37680001	37691471	13
group1774	Thamnophis-elegans	NC_045554.1	+	20690696	20697110	14
group1775	Thamnophis-elegans	NC_045558.1	+	37770389	37780000	Z
group1776	Thamnophis-elegans	NC_045556.1	-	32020001	32038372	16
group1777	Thamnophis-elegans	NC_045546.1	+	73620013	73628250	6
group1778	Thamnophis-elegans	NC_045541.1	-	22892703	22899979	1
group1779	Thamnophis-elegans	NA	NA	NA	NA	NA
group1780	Thamnophis-elegans	NC_045541.1	-	142460001	142464312	1
group1781	Thamnophis-elegans	NC_045556.1	-	36540001	36559417	16
group1782	Thamnophis-elegans	NC_045555.1	-	3340001	3346497	15
group1783	Thamnophis-elegans	NA	NA	NA	NA	NA
group1784	Thamnophis-elegans	NC_045550.1	+	71446628	71457227	10
group1785	Thamnophis-elegans	NC_045558.1	-	80200001	80215119	Z
group1786	Thamnophis-elegans	NC_045542.1	-	144202686	144219065	2
group1787	Thamnophis-elegans	NC_045542.1	+	160201087	160219651	2
group1788	Thamnophis-elegans	NC_045549.1	+	44420001	44424801	9
group1789	Thamnophis-elegans	NC_045552.1	+	60620001	60626299	12
group1790	Thamnophis-elegans	NC_045546.1	-	18585048	18599742	6
group1791	Thamnophis-elegans	NC_045546.1	+	1481959	1497476	6
group1792	Thamnophis-elegans	NC_045554.1	-	7560056	7574054	14
group1793	Thamnophis-elegans	NC_045544.1	-	134665629	134680000	4
group1794	Thamnophis-elegans	NC_045556.1	+	5060329	5077291	16
group1795	Thamnophis-elegans	NC_045541.1	+	1521359	1532904	1
group1796	Thamnophis-elegans	NC_045543.1	+	10487719	10499997	3
group1797	Thamnophis-elegans	NC_045553.1	+	480001	483290	13
group1798	Thamnophis-elegans	NC_045547.1	-	28789907	28800000	7
group1799	Thamnophis-elegans	NC_045558.1	+	135463302	135479702	Z
group1800	Thamnophis-elegans	NC_045542.1	-	99843098	99849492	2
group1801	Thamnophis-elegans	NC_045552.1	+	46651360	46659894	12
group1802	Thamnophis-elegans	NC_045543.1	+	59204015	59217961	3
group1803	Thamnophis-elegans	NC_045543.1	-	50400203	50419647	3
group1804	Thamnophis-elegans	NC_045547.1	-	75900027	75920000	7
group1805	Thamnophis-elegans	NC_045541.1	+	67700253	67720000	1
group1806	Thamnophis-elegans	NA	NA	NA	NA	NA
group1807	Thamnophis-elegans	NC_045548.1	+	79476379	79480000	8
group1808	Thamnophis-elegans	NC_045554.1	-	1046368	1058395	14
group1809	Thamnophis-elegans	NC_045552.1	-	3590348	3595551	12
group1810	Thamnophis-elegans	NA	NA	NA	NA	NA
group1811	Thamnophis-elegans	NC_045542.1	-	145200001	145219999	2
group1812	Thamnophis-elegans	NC_045542.1	-	170686058	170699850	2
group1813	Thamnophis-elegans	NC_045557.1	+	4420001	4427394	17
group1814	Thamnophis-elegans	NC_045558.1	+	4660001	4676964	Z
group1815	Thamnophis-elegans	NA	NA	NA	NA	NA
group1816	Thamnophis-elegans	NC_045554.1	+	9721203	9739989	14
group1817	Thamnophis-elegans	NC_045556.1	-	34920038	34931183	16
group1818	Thamnophis-elegans	NC_045553.1	+	49580001	49591126	13
group1819	Thamnophis-elegans	NC_045543.1	-	150368935	150372894	3
group1820	Thamnophis-elegans	NC_045558.1	+	132120446	132135080	Z
group1821	Thamnophis-elegans	NC_045549.1	+	1020715	1035613	9
group1822	Thamnophis-elegans	NC_045545.1	+	50483955	50491638	5
group1823	Thamnophis-elegans	NC_045558.1	-	126729378	126739994	Z
group1824	Thamnophis-elegans	NC_045541.1	-	141080209	141091197	1
group1825	Thamnophis-elegans	NC_045558.1	+	112207515	112213923	Z
group1826	Thamnophis-elegans	NC_045558.1	+	91208744	91210953	Z
group1827	Thamnophis-elegans	NC_045543.1	+	105292203	105299911	3
group1828	Thamnophis-elegans	NC_045542.1	-	98640001	98643223	2
group1829	Thamnophis-elegans	NC_045554.1	-	7107308	7120000	14
group1830	Thamnophis-elegans	NC_045555.1	+	28582041	28592099	15
group1831	Thamnophis-elegans	NC_045557.1	+	8230946	8239342	17
group1832	Thamnophis-elegans	NC_045554.1	-	37725925	37740000	14
group1833	Thamnophis-elegans	NC_045552.1	+	54694307	54699943	12
group1834	Thamnophis-elegans	NC_045558.1	-	79521919	79538399	Z
group1835	Thamnophis-elegans	NC_045546.1	+	310205	317057	6
group1836	Thamnophis-elegans	NC_045557.1	-	6569849	6579120	17
group1837	Thamnophis-elegans	NA	NA	NA	NA	NA
group1838	Thamnophis-elegans	NC_045545.1	+	75736566	75740000	5
group1839	Thamnophis-elegans	NC_045543.1	-	41207197	41220000	3
group1840	Thamnophis-elegans	NC_045542.1	-	66532531	66539820	2
group1841	Thamnophis-elegans	NC_045543.1	-	90673950	90676642	3
group1842	Thamnophis-elegans	NC_045544.1	+	141221966	141227158	4
group1843	Thamnophis-elegans	NC_045558.1	-	780113	790000	Z
group1844	Thamnophis-elegans	NC_045555.1	-	17873965	17879864	15
group1845	Thamnophis-elegans	NC_045557.1	-	8260001	8263104	17
group1846	Thamnophis-elegans	NC_045542.1	+	153320092	153329310	2
group1847	Thamnophis-elegans	NA	NA	NA	NA	NA
group1848	Thamnophis-elegans	NC_045550.1	-	23828244	23840000	10
group1849	Thamnophis-elegans	NC_045549.1	+	21059308	21060000	9
group1850	Thamnophis-elegans	NC_045542.1	+	34042114	34057387	2
group1851	Thamnophis-elegans	NA	NA	NA	NA	NA
group1852	Thamnophis-elegans	NC_045549.1	-	310499	313439	9
group1853	Thamnophis-elegans	NC_045553.1	+	17369613	17378839	13
group1854	Thamnophis-elegans	NC_045542.1	+	35780162	35791362	2
group1855	Thamnophis-elegans	NC_045541.1	-	64365991	64380000	1
group1856	Thamnophis-elegans	NC_045541.1	-	60620014	60634712	1
group1857	Thamnophis-elegans	NC_045558.1	-	1969159	1976387	Z
group1858	Thamnophis-elegans	NC_045553.1	+	3743295	3748472	13
group1859	Thamnophis-elegans	NC_045555.1	-	44600002	44614226	15
group1860	Thamnophis-elegans	NC_045545.1	-	64384787	64400000	5
group1861	Thamnophis-elegans	NC_045557.1	-	4215433	4218129	17
group1862	Thamnophis-elegans	NC_045557.1	+	4801047	4804278	17
group1863	Thamnophis-elegans	NC_045551.1	-	68320058	68337457	11
group1864	Thamnophis-elegans	NC_045556.1	-	31520001	31532704	16
group1865	Thamnophis-elegans	NC_045554.1	+	21487005	21489139	14
group1866	Thamnophis-elegans	NC_045552.1	+	6802057	6820000	12
group1867	Thamnophis-elegans	NC_045541.1	+	166420664	166439083	1
group1868	Thamnophis-elegans	NC_045542.1	-	160063118	160077778	2
group1869	Thamnophis-elegans	NC_045552.1	-	37660532	37670822	12
group1870	Thamnophis-elegans	NC_045541.1	-	160129071	160139839	1
group1871	Thamnophis-elegans	NC_045542.1	-	173123195	173138973	2
group1872	Thamnophis-elegans	NC_045548.1	+	79867789	79875005	8
group1873	Thamnophis-elegans	NC_045542.1	-	143985730	143999256	2
group1874	Thamnophis-elegans	NC_045553.1	+	1447788	1460000	13
group1875	Thamnophis-elegans	NW_022473917.1	-	20291	34763	na
group1876	Thamnophis-elegans	NC_045558.1	+	110004484	110016870	Z
group1877	Thamnophis-elegans	NC_045558.1	-	109725191	109738006	Z
group1878	Thamnophis-elegans	NA	NA	NA	NA	NA
group1879	Thamnophis-elegans	NC_045554.1	+	3300873	3319998	14
group1880	Thamnophis-elegans	NC_045556.1	-	29460001	29477403	16
group1881	Thamnophis-elegans	NC_045558.1	+	133646342	133659961	Z
group1882	Thamnophis-elegans	NC_045543.1	+	75371788	75380000	3
group1883	Thamnophis-elegans	NA	NA	NA	NA	NA
group1884	Thamnophis-elegans	NC_045554.1	+	4605514	4618426	14
group1885	Thamnophis-elegans	NC_045544.1	-	138060242	138070704	4
group1886	Thamnophis-elegans	NC_045547.1	+	49842408	49855566	7
group1887	Thamnophis-elegans	NC_045556.1	-	845429	852972	16
group1888	Thamnophis-elegans	NC_045550.1	+	63180001	63190652	10
group1889	Thamnophis-elegans	NC_045557.1	-	3901513	3917904	17
group1890	Thamnophis-elegans	NA	NA	NA	NA	NA
group1891	Thamnophis-elegans	NC_045549.1	+	65660105	65675431	9
group1892	Thamnophis-elegans	NC_045544.1	-	35580001	35587723	4
group1893	Thamnophis-elegans	NC_045553.1	-	34515963	34519995	13
group1894	Thamnophis-elegans	NC_045548.1	-	80621861	80633372	8
group1895	Thamnophis-elegans	NC_045542.1	+	149620001	149637586	2
group1896	Thamnophis-elegans	NC_045546.1	-	423889	426778	6
group1897	Thamnophis-elegans	NC_045558.1	+	132280976	132299839	Z
group1898	Thamnophis-elegans	NC_045556.1	-	30480130	30484108	16
group1899	Thamnophis-elegans	NC_045557.1	+	3826675	3833110	17
group1900	Thamnophis-elegans	NC_045551.1	+	29106681	29119064	11
group1901	Thamnophis-elegans	NC_045554.1	-	1000011	1011949	14
group1902	Thamnophis-elegans	NA	NA	NA	NA	NA
group1903	Thamnophis-elegans	NC_045541.1	-	37982457	37993772	1
group1904	Thamnophis-elegans	NC_045552.1	+	21240513	21256665	12
group1905	Thamnophis-elegans	NC_045555.1	+	1123767	1127850	15
group1906	Thamnophis-elegans	NA	NA	NA	NA	NA
group1907	Thamnophis-elegans	NC_045548.1	-	74831978	74837739	8
group1908	Thamnophis-elegans	NC_045556.1	-	36143692	36155462	16
group1909	Thamnophis-elegans	NC_045543.1	-	25640001	25643526	3
group1910	Thamnophis-elegans	NC_045555.1	+	5840001	5859999	15
group1911	Thamnophis-elegans	NC_045549.1	+	23900001	23901067	9
group1912	Thamnophis-elegans	NC_045544.1	-	142689106	142696707	4
group1913	Thamnophis-elegans	NC_045542.1	-	160547359	160556919	2
group1914	Thamnophis-elegans	NC_045556.1	-	20001	23054	16
group1915	Thamnophis-elegans	NA	NA	NA	NA	NA
group1916	Thamnophis-elegans	NC_045551.1	+	26087611	26100000	11
group1917	Thamnophis-elegans	NC_045543.1	-	67065810	67079749	3
group1918	Thamnophis-elegans	NC_045542.1	-	163361529	163375222	2
group1919	Thamnophis-elegans	NC_045552.1	+	10200340	10217844	12
group1920	Thamnophis-elegans	NC_045558.1	+	47530706	47536047	Z
group1921	Thamnophis-elegans	NC_045549.1	-	5082480	5097860	9
group1922	Thamnophis-elegans	NC_045557.1	+	11280520	11299948	17
group1923	Thamnophis-elegans	NC_045548.1	-	73155748	73159995	8
group1924	Thamnophis-elegans	NA	NA	NA	NA	NA
group1925	Thamnophis-elegans	NC_045550.1	+	54002919	54011395	10
group1926	Thamnophis-elegans	NC_045544.1	-	131460007	131473531	4
group1927	Thamnophis-elegans	NC_045557.1	+	3909682	3912572	17
group1928	Thamnophis-elegans	NC_045558.1	+	11700307	11712290	Z
group1929	Thamnophis-elegans	NC_045558.1	+	129348811	129359822	Z
group1930	Thamnophis-elegans	NC_045547.1	+	1200467	1208495	7
group1931	Thamnophis-elegans	NC_045544.1	-	26066362	26073204	4
group1932	Thamnophis-elegans	NC_045547.1	+	85940092	85947902	7
group1933	Thamnophis-elegans	NC_045542.1	-	167747518	167757792	2
group1934	Thamnophis-elegans	NC_045558.1	-	22588617	22600000	Z
group1935	Thamnophis-elegans	NA	NA	NA	NA	NA
group1936	Thamnophis-elegans	NA	NA	NA	NA	NA
group1937	Thamnophis-elegans	NC_045558.1	+	122500005	122519379	Z
group1938	Thamnophis-elegans	NC_045552.1	-	3082523	3100000	12
group1939	Thamnophis-elegans	NC_045556.1	+	24148840	24152787	16
group1940	Thamnophis-elegans	NA	NA	NA	NA	NA
group1941	Thamnophis-elegans	NA	NA	NA	NA	NA
group1942	Thamnophis-elegans	NC_045554.1	-	13886412	13899313	14
group1943	Thamnophis-elegans	NC_045558.1	-	1620019	1639303	Z
group1944	Thamnophis-elegans	NC_045554.1	+	23340001	23359805	14
group1945	Thamnophis-elegans	NC_045545.1	-	48166797	48180000	5
group1946	Thamnophis-elegans	NC_045556.1	-	30245219	30252266	16
group1947	Thamnophis-elegans	NA	NA	NA	NA	NA
group1948	Thamnophis-elegans	NC_045557.1	-	10629705	10639515	17
group1949	Thamnophis-elegans	NC_045558.1	-	109776896	109779992	Z
group1950	Thamnophis-elegans	NC_045557.1	-	3952349	3959725	17
group1951	Thamnophis-elegans	NC_045545.1	+	30424812	30439391	5
group1952	Thamnophis-elegans	NC_045552.1	+	20963067	20979799	12
group1953	Thamnophis-elegans	NC_045555.1	+	43720002	43725692	15
