locus	genome	chromosome	orthoblock
group1236	Thamnophis-elegans	4	OG0008732
group1237	Thamnophis-elegans	6	NA
group1238	Thamnophis-elegans	16	NA
group1239	Thamnophis-elegans	4	OG0015408
group1240	Thamnophis-elegans	Z	OG0002654
group1241	Thamnophis-elegans	2	OG0000075
group1242	Thamnophis-elegans	Z	NA
group1243	Thamnophis-elegans	3	NA
group1244	Thamnophis-elegans	NA	NA
group1245	Thamnophis-elegans	1	OG0003099
group1246	Thamnophis-elegans	7	OG0010386
group1247	Thamnophis-elegans	4	OG0015408
group1248	Thamnophis-elegans	1	NA
group1249	Thamnophis-elegans	NA	NA
group1250	Thamnophis-elegans	4	NA
group1251	Thamnophis-elegans	NA	NA
group1252	Thamnophis-elegans	4	NA
group1253	Thamnophis-elegans	1	OG0002912
group1254	Thamnophis-elegans	1	OG0002285
group1255	Thamnophis-elegans	1	NA
group1256	Thamnophis-elegans	7	OG0007381
group1257	Thamnophis-elegans	4	OG0007324
group1258	Thamnophis-elegans	NA	NA
group1259	Thamnophis-elegans	Z	OG0000546
group1260	Thamnophis-elegans	9	NA
group1261	Thamnophis-elegans	1	NA
group1262	Thamnophis-elegans	6	NA
group1263	Thamnophis-elegans	8	OG0000902
group1264	Thamnophis-elegans	2	NA
group1265	Thamnophis-elegans	3	OG0000138
group1266	Thamnophis-elegans	1	NOG4562
group1267	Thamnophis-elegans	3	NA
group1268	Thamnophis-elegans	1	NA
group1269	Thamnophis-elegans	9	OG0008139
group1270	Thamnophis-elegans	2	OG0008565
group1271	Thamnophis-elegans	8	NA
group1272	Thamnophis-elegans	8	OG0007017
group1273	Thamnophis-elegans	NA	NA
group1274	Thamnophis-elegans	5	NA
group1275	Thamnophis-elegans	1	NA
group1276	Thamnophis-elegans	10	NOG4518
group1277	Thamnophis-elegans	1	NA
group1278	Thamnophis-elegans	7	NA
group1279	Thamnophis-elegans	Z	OG0014362
group1280	Thamnophis-elegans	6	NA
group1281	Thamnophis-elegans	3	NA
group1282	Thamnophis-elegans	1	OG0002766
group1283	Thamnophis-elegans	3	OG0000523
group1284	Thamnophis-elegans	1	NA
group1285	Thamnophis-elegans	Z	NA
group1286	Thamnophis-elegans	5	NA
group1287	Thamnophis-elegans	2	NA
group1288	Thamnophis-elegans	11	OG0005663
group1289	Thamnophis-elegans	6	OG0004200
group1290	Thamnophis-elegans	2	OG0008571
group1291	Thamnophis-elegans	4	OG0000494
group1292	Thamnophis-elegans	3	OG0006836
group1293	Thamnophis-elegans	4	OG0015408
group1294	Thamnophis-elegans	1	NA
group1295	Thamnophis-elegans	8	NA
group1296	Thamnophis-elegans	5	OG0000300
group1297	Thamnophis-elegans	5	NA
group1298	Thamnophis-elegans	11	NA
group1299	Thamnophis-elegans	5	OG0003058
group1300	Thamnophis-elegans	4	OG0015407
group1301	Thamnophis-elegans	1	NA
group1302	Thamnophis-elegans	5	NA
group1303	Thamnophis-elegans	11	OG0011694
group1304	Thamnophis-elegans	3	NA
group1305	Thamnophis-elegans	Z	OG0003784
group1306	Thamnophis-elegans	Z	NA
group1307	Thamnophis-elegans	5	NA
group1308	Thamnophis-elegans	NA	NA
group1309	Thamnophis-elegans	2	OG0000281
group1310	Thamnophis-elegans	NA	NA
group1311	Thamnophis-elegans	1	NA
group1312	Thamnophis-elegans	NA	NA
group1313	Thamnophis-elegans	14	OG0008652
group1314	Thamnophis-elegans	7	NA
group1315	Thamnophis-elegans	3	NA
group1316	Thamnophis-elegans	5	NA
group1317	Thamnophis-elegans	Z	NA
group1318	Thamnophis-elegans	10	NA
group1319	Thamnophis-elegans	1	NA
group1320	Thamnophis-elegans	11	OG0003873
group1321	Thamnophis-elegans	5	NA
group1322	Thamnophis-elegans	Z	NA
group1323	Thamnophis-elegans	15	OG0014335
group1324	Thamnophis-elegans	3	NA
group1325	Thamnophis-elegans	1	NA
group1326	Thamnophis-elegans	8	OG0009256
group1327	Thamnophis-elegans	4	NA
group1328	Thamnophis-elegans	1	NOG4562
group1329	Thamnophis-elegans	5	OG0015698
group1330	Thamnophis-elegans	1	OG0005155
group1331	Thamnophis-elegans	3	NA
group1332	Thamnophis-elegans	3	NA
group1333	Thamnophis-elegans	8	NA
group1334	Thamnophis-elegans	4	OG0001360
group1335	Thamnophis-elegans	10	NA
group1336	Thamnophis-elegans	Z	OG0001234
group1337	Thamnophis-elegans	14	NA
group1338	Thamnophis-elegans	8	NA
group1339	Thamnophis-elegans	2	OG0000519
group1340	Thamnophis-elegans	NA	NA
group1341	Thamnophis-elegans	1	OG0005316
group1342	Thamnophis-elegans	4	OG0001360
group1343	Thamnophis-elegans	4	NOG4383
group1344	Thamnophis-elegans	1	NA
group1345	Thamnophis-elegans	5	NA
group1346	Thamnophis-elegans	12	OG0015737
group1347	Thamnophis-elegans	9	NA
group1348	Thamnophis-elegans	5	NA
group1349	Thamnophis-elegans	8	OG0003024
group1349	Thamnophis-elegans	8	OG0012482
group1350	Thamnophis-elegans	3	OG0000605
group1351	Thamnophis-elegans	7	OG0006185
group1352	Thamnophis-elegans	3	NA
group1353	Thamnophis-elegans	5	NA
group1354	Thamnophis-elegans	3	OG0003608
group1355	Thamnophis-elegans	10	NA
group1356	Thamnophis-elegans	4	OG0010244
group1357	Thamnophis-elegans	3	NA
group1358	Thamnophis-elegans	3	NA
group1359	Thamnophis-elegans	NA	NA
group1360	Thamnophis-elegans	15	OG0014335
group1361	Thamnophis-elegans	NW_022473906.1	OG0001000
group1362	Thamnophis-elegans	NA	NA
group1363	Thamnophis-elegans	4	NA
group1364	Thamnophis-elegans	3	NA
group1365	Thamnophis-elegans	1	OG0008949
group1366	Thamnophis-elegans	1	NA
group1367	Thamnophis-elegans	11	NA
group1368	Thamnophis-elegans	12	OG0001333
group1369	Thamnophis-elegans	5	NA
group1370	Thamnophis-elegans	10	OG0000281
group1371	Thamnophis-elegans	3	OG0002450
group1372	Thamnophis-elegans	1	OG0009739
group1373	Thamnophis-elegans	5	NA
group1374	Thamnophis-elegans	3	NA
group1375	Thamnophis-elegans	1	OG0004868
group1376	Thamnophis-elegans	3	OG0000605
group1377	Thamnophis-elegans	2	NA
group1378	Thamnophis-elegans	4	OG0000494
group1379	Thamnophis-elegans	6	NA
group1380	Thamnophis-elegans	3	OG0001721
group1381	Thamnophis-elegans	9	OG0011752
group1382	Thamnophis-elegans	11	NA
group1383	Thamnophis-elegans	1	OG0002250
group1384	Thamnophis-elegans	1	NA
group1385	Thamnophis-elegans	1	NA
group1386	Thamnophis-elegans	4	OG0008716
group1387	Thamnophis-elegans	8	OG0001607
group1388	Thamnophis-elegans	NW_022473788.1	NA
group1389	Thamnophis-elegans	4	OG0009790
group1390	Thamnophis-elegans	9	NA
group1391	Thamnophis-elegans	4	NA
group1392	Thamnophis-elegans	8	OG0009001
group1393	Thamnophis-elegans	10	NA
group1394	Thamnophis-elegans	1	NA
group1395	Thamnophis-elegans	5	NA
group1396	Thamnophis-elegans	1	OG0005150
group1397	Thamnophis-elegans	2	OG0000181
group1398	Thamnophis-elegans	6	NA
group1399	Thamnophis-elegans	6	OG0000660
group1399	Thamnophis-elegans	6	OG0006645
group1400	Thamnophis-elegans	5	NA
group1401	Thamnophis-elegans	8	OG0007017
group1402	Thamnophis-elegans	8	NA
group1403	Thamnophis-elegans	Z	OG0004698
group1404	Thamnophis-elegans	3	NA
group1405	Thamnophis-elegans	4	NA
group1406	Thamnophis-elegans	10	NA
group1407	Thamnophis-elegans	8	NA
group1408	Thamnophis-elegans	5	NA
group1409	Thamnophis-elegans	4	OG0010325
group1410	Thamnophis-elegans	10	OG0001961
group1411	Thamnophis-elegans	1	NA
group1412	Thamnophis-elegans	7	NA
group1413	Thamnophis-elegans	16	OG0008398
group1414	Thamnophis-elegans	13	OG0010524
group1414	Thamnophis-elegans	13	OG0010525
group1415	Thamnophis-elegans	4	NA
group1416	Thamnophis-elegans	4	NA
group1417	Thamnophis-elegans	13	NA
group1418	Thamnophis-elegans	14	NA
group1419	Thamnophis-elegans	1	NOG4562
group1420	Thamnophis-elegans	13	OG0010346
group1421	Thamnophis-elegans	2	NA
group1422	Thamnophis-elegans	6	OG0007284
group1423	Thamnophis-elegans	3	NA
group1424	Thamnophis-elegans	11	NA
group1425	Thamnophis-elegans	1	OG0015479
group1426	Thamnophis-elegans	4	NA
group1427	Thamnophis-elegans	10	OG0000281
group1428	Thamnophis-elegans	3	NA
group1429	Thamnophis-elegans	5	NA
group1430	Thamnophis-elegans	1	NA
group1431	Thamnophis-elegans	6	OG0010211
group1432	Thamnophis-elegans	6	NA
group1433	Thamnophis-elegans	5	NA
group1434	Thamnophis-elegans	11	NA
group1435	Thamnophis-elegans	1	NA
group1436	Thamnophis-elegans	8	NA
group1437	Thamnophis-elegans	5	OG0003287
group1438	Thamnophis-elegans	4	OG0000259
group1439	Thamnophis-elegans	3	OG0002450
group1440	Thamnophis-elegans	3	NA
group1441	Thamnophis-elegans	1	NA
group1442	Thamnophis-elegans	5	OG0003049
group1443	Thamnophis-elegans	8	NA
group1444	Thamnophis-elegans	3	OG0010790
group1445	Thamnophis-elegans	10	NA
group1446	Thamnophis-elegans	1	OG0008949
group1447	Thamnophis-elegans	1	OG0002766
group1448	Thamnophis-elegans	9	NA
group1449	Thamnophis-elegans	1	NA
group1450	Thamnophis-elegans	1	OG0005525
group1451	Thamnophis-elegans	15	NA
group1452	Thamnophis-elegans	10	NA
group1453	Thamnophis-elegans	4	NA
group1454	Thamnophis-elegans	9	OG0011752
group1455	Thamnophis-elegans	8	NA
group1456	Thamnophis-elegans	7	OG0001041
group1457	Thamnophis-elegans	7	OG0002006
group1458	Thamnophis-elegans	6	NA
group1459	Thamnophis-elegans	5	NA
group1460	Thamnophis-elegans	10	OG0011477
group1461	Thamnophis-elegans	1	NA
group1462	Thamnophis-elegans	6	OG0007563
group1463	Thamnophis-elegans	10	NA
group1464	Thamnophis-elegans	1	OG0000528
group1465	Thamnophis-elegans	3	OG0000138
group1466	Thamnophis-elegans	8	OG0007017
group1467	Thamnophis-elegans	10	NA
group1468	Thamnophis-elegans	1	NOG4562
group1469	Thamnophis-elegans	15	NA
group1470	Thamnophis-elegans	1	OG0001289
group1471	Thamnophis-elegans	8	OG0000902
group1472	Thamnophis-elegans	16	NA
group1473	Thamnophis-elegans	4	OG0002377
group1474	Thamnophis-elegans	14	NA
group1475	Thamnophis-elegans	8	OG0011241
group1476	Thamnophis-elegans	10	NA
group1477	Thamnophis-elegans	4	NA
group1478	Thamnophis-elegans	3	OG0006836
group1479	Thamnophis-elegans	1	NA
group1480	Thamnophis-elegans	6	OG0007456
group1481	Thamnophis-elegans	4	OG0008736
group1482	Thamnophis-elegans	Z	OG0004933
group1483	Thamnophis-elegans	NA	NA
group1484	Thamnophis-elegans	1	NA
group1485	Thamnophis-elegans	11	NA
group1486	Thamnophis-elegans	17	OG0000458
group1487	Thamnophis-elegans	17	NA
group1488	Thamnophis-elegans	17	NA
group1489	Thamnophis-elegans	17	NA
group1490	Thamnophis-elegans	1	OG0011840
group1491	Thamnophis-elegans	17	NA
group1492	Thamnophis-elegans	17	OG0015933
group1493	Thamnophis-elegans	NA	NA
group1494	Thamnophis-elegans	17	NA
group1495	Thamnophis-elegans	NA	NA
group1496	Thamnophis-elegans	17	NA
group1497	Thamnophis-elegans	4	OG0010824
group1498	Thamnophis-elegans	17	OG0002274
group1499	Thamnophis-elegans	NA	NA
group1500	Thamnophis-elegans	3	OG0001741
group1501	Thamnophis-elegans	NA	NA
group1502	Thamnophis-elegans	2	OG0000491
group1503	Thamnophis-elegans	NA	NA
group1504	Thamnophis-elegans	NA	NA
group1505	Thamnophis-elegans	17	OG0007811
group1505	Thamnophis-elegans	17	OG0015937
group1506	Thamnophis-elegans	NA	NA
group1507	Thamnophis-elegans	3	NA
group1508	Thamnophis-elegans	NA	NA
group1509	Thamnophis-elegans	2	OG0004393
group1510	Thamnophis-elegans	16	OG0000960
group1511	Thamnophis-elegans	5	NA
group1512	Thamnophis-elegans	6	OG0010212
group1513	Thamnophis-elegans	1	OG0010141
group1514	Thamnophis-elegans	13	OG0000883
group1514	Thamnophis-elegans	13	OG0014707
group1515	Thamnophis-elegans	10	OG0004994
group1516	Thamnophis-elegans	NA	NA
group1517	Thamnophis-elegans	NA	NA
group1518	Thamnophis-elegans	Z	OG0000194
group1519	Thamnophis-elegans	3	OG0000194
group1519	Thamnophis-elegans	3	OG0006655
group1520	Thamnophis-elegans	5	OG0008906
group1521	Thamnophis-elegans	5	OG0008905
group1522	Thamnophis-elegans	6	OG0000582
group1523	Thamnophis-elegans	NA	NA
group1524	Thamnophis-elegans	Z	OG0004680
group1525	Thamnophis-elegans	2	OG0005859
group1525	Thamnophis-elegans	2	OG0015607
group1526	Thamnophis-elegans	2	OG0005860
group1527	Thamnophis-elegans	5	OG0006258
group1528	Thamnophis-elegans	2	NA
group1529	Thamnophis-elegans	4	OG0008679
group1530	Thamnophis-elegans	8	OG0012296
group1531	Thamnophis-elegans	16	OG0010321
group1532	Thamnophis-elegans	15	OG0002400
group1533	Thamnophis-elegans	15	OG0000751
group1534	Thamnophis-elegans	NA	NA
group1535	Thamnophis-elegans	2	OG0006313
group1535	Thamnophis-elegans	2	OG0015598
group1536	Thamnophis-elegans	12	OG0006626
group1537	Thamnophis-elegans	12	OG0011607
group1538	Thamnophis-elegans	4	OG0008709
group1539	Thamnophis-elegans	NA	NA
group1540	Thamnophis-elegans	1	NA
group1541	Thamnophis-elegans	Z	OG0000314
group1542	Thamnophis-elegans	NA	NA
group1543	Thamnophis-elegans	2	OG0000314
group1544	Thamnophis-elegans	NA	NA
group1545	Thamnophis-elegans	Z	OG0003650
group1546	Thamnophis-elegans	2	OG0002364
group1547	Thamnophis-elegans	15	OG0010043
group1548	Thamnophis-elegans	4	NA
group1549	Thamnophis-elegans	2	OG0002527
group1550	Thamnophis-elegans	3	OG0000185
group1551	Thamnophis-elegans	6	OG0002784
group1552	Thamnophis-elegans	8	OG0007029
group1553	Thamnophis-elegans	5	OG0006284
group1553	Thamnophis-elegans	5	OG0013419
group1554	Thamnophis-elegans	5	OG0006527
group1554	Thamnophis-elegans	5	OG0006528
group1555	Thamnophis-elegans	4	OG0010257
group1555	Thamnophis-elegans	4	OG0010258
group1556	Thamnophis-elegans	9	OG0006909
group1556	Thamnophis-elegans	9	OG0006910
group1557	Thamnophis-elegans	11	OG0005678
group1558	Thamnophis-elegans	10	OG0000145
group1559	Thamnophis-elegans	5	OG0000100
group1560	Thamnophis-elegans	8	NA
group1561	Thamnophis-elegans	1	OG0005208
group1562	Thamnophis-elegans	10	OG0011460
group1563	Thamnophis-elegans	NA	NA
group1564	Thamnophis-elegans	9	OG0012390
group1565	Thamnophis-elegans	3	OG0011540
group1566	Thamnophis-elegans	8	NA
group1567	Thamnophis-elegans	Z	OG0011163
group1568	Thamnophis-elegans	3	OG0007460
group1569	Thamnophis-elegans	11	OG0000290
group1570	Thamnophis-elegans	14	NA
group1571	Thamnophis-elegans	13	OG0005291
group1571	Thamnophis-elegans	13	OG0005292
group1572	Thamnophis-elegans	6	OG0015817
group1573	Thamnophis-elegans	2	OG0008540
group1574	Thamnophis-elegans	3	OG0000500
group1575	Thamnophis-elegans	NA	NA
group1576	Thamnophis-elegans	9	OG0004796
group1577	Thamnophis-elegans	16	NA
group1578	Thamnophis-elegans	3	OG0000751
group1579	Thamnophis-elegans	7	OG0012227
group1580	Thamnophis-elegans	NA	NA
group1581	Thamnophis-elegans	NA	NA
group1582	Thamnophis-elegans	2	OG0007476
group1583	Thamnophis-elegans	2	OG0001191
group1584	Thamnophis-elegans	11	OG0008049
group1585	Thamnophis-elegans	8	NA
group1586	Thamnophis-elegans	10	NA
group1587	Thamnophis-elegans	10	OG0011817
group1588	Thamnophis-elegans	NA	NA
group1589	Thamnophis-elegans	NA	NA
group1590	Thamnophis-elegans	NA	NA
group1591	Thamnophis-elegans	3	OG0008011
group1592	Thamnophis-elegans	5	NA
group1593	Thamnophis-elegans	NA	NA
group1594	Thamnophis-elegans	NA	NA
group1595	Thamnophis-elegans	2	NA
group1596	Thamnophis-elegans	4	NA
group1597	Thamnophis-elegans	NA	NA
group1598	Thamnophis-elegans	1	NA
group1599	Thamnophis-elegans	NA	NA
group1600	Thamnophis-elegans	NA	NA
group1601	Thamnophis-elegans	3	OG0000650
group1602	Thamnophis-elegans	3	NA
group1603	Thamnophis-elegans	6	OG0009908
group1604	Thamnophis-elegans	2	OG0001297
group1605	Thamnophis-elegans	11	OG0000400
group1606	Thamnophis-elegans	6	OG0009874
group1607	Thamnophis-elegans	1	OG0002327
group1608	Thamnophis-elegans	2	OG0011892
group1609	Thamnophis-elegans	10	OG0005094
group1610	Thamnophis-elegans	NA	NA
group1611	Thamnophis-elegans	1	OG0007738
group1612	Thamnophis-elegans	12	NA
group1613	Thamnophis-elegans	5	OG0009220
group1614	Thamnophis-elegans	Z	NA
group1615	Thamnophis-elegans	4	NA
group1616	Thamnophis-elegans	2	NA
group1617	Thamnophis-elegans	NA	NA
group1618	Thamnophis-elegans	1	OG0001343
group1619	Thamnophis-elegans	7	OG0008112
group1620	Thamnophis-elegans	NA	NA
group1621	Thamnophis-elegans	11	OG0005659
group1622	Thamnophis-elegans	11	OG0001315
group1623	Thamnophis-elegans	12	NA
group1624	Thamnophis-elegans	NA	NA
group1625	Thamnophis-elegans	5	OG0006269
group1626	Thamnophis-elegans	6	NA
group1627	Thamnophis-elegans	2	OG0000443
group1628	Thamnophis-elegans	NA	NA
group1629	Thamnophis-elegans	1	OG0008297
group1630	Thamnophis-elegans	4	NA
group1631	Thamnophis-elegans	2	NA
group1632	Thamnophis-elegans	8	NA
group1633	Thamnophis-elegans	10	OG0001326
group1634	Thamnophis-elegans	3	OG0012378
group1635	Thamnophis-elegans	13	OG0010559
group1636	Thamnophis-elegans	1	OG0009967
group1637	Thamnophis-elegans	4	NA
group1638	Thamnophis-elegans	5	OG0001187
group1639	Thamnophis-elegans	7	OG0001195
group1640	Thamnophis-elegans	Z	OG0000043
group1640	Thamnophis-elegans	Z	OG0000043
group1640	Thamnophis-elegans	Z	OG0000043
group1640	Thamnophis-elegans	Z	OG0000043
group1641	Thamnophis-elegans	NA	NA
group1642	Thamnophis-elegans	1	NA
group1643	Thamnophis-elegans	3	NA
group1644	Thamnophis-elegans	3	NA
group1645	Thamnophis-elegans	Z	OG0004840
group1646	Thamnophis-elegans	Z	OG0011979
group1647	Thamnophis-elegans	NA	NA
group1648	Thamnophis-elegans	6	OG0015818
group1649	Thamnophis-elegans	13	OG0004875
group1649	Thamnophis-elegans	13	OG0004876
group1650	Thamnophis-elegans	13	OG0001582
group1651	Thamnophis-elegans	1	NA
group1652	Thamnophis-elegans	1	OG0011148
group1653	Thamnophis-elegans	NA	NA
group1654	Thamnophis-elegans	7	OG0012382
group1655	Thamnophis-elegans	11	OG0003873
group1656	Thamnophis-elegans	8	NA
group1657	Thamnophis-elegans	NA	NA
group1658	Thamnophis-elegans	NA	NA
group1659	Thamnophis-elegans	14	OG0008639
group1659	Thamnophis-elegans	14	OG0008640
group1660	Thamnophis-elegans	NA	NA
group1661	Thamnophis-elegans	14	OG0004482
group1662	Thamnophis-elegans	16	OG0007102
group1663	Thamnophis-elegans	5	NA
group1664	Thamnophis-elegans	5	NA
group1665	Thamnophis-elegans	4	OG0008744
group1666	Thamnophis-elegans	12	OG0006735
group1667	Thamnophis-elegans	NA	NA
group1668	Thamnophis-elegans	9	NA
group1669	Thamnophis-elegans	13	OG0002437
group1670	Thamnophis-elegans	8	OG0007870
group1671	Thamnophis-elegans	8	OG0008992
group1672	Thamnophis-elegans	3	OG0000061
group1673	Thamnophis-elegans	3	OG0003185
group1674	Thamnophis-elegans	2	OG0000138
group1675	Thamnophis-elegans	14	NA
group1676	Thamnophis-elegans	10	NA
group1677	Thamnophis-elegans	Z	NA
group1678	Thamnophis-elegans	4	NA
group1679	Thamnophis-elegans	NA	NA
group1680	Thamnophis-elegans	1	NA
group1681	Thamnophis-elegans	NA	NA
group1682	Thamnophis-elegans	1	NA
group1683	Thamnophis-elegans	NA	NA
group1684	Thamnophis-elegans	4	NA
group1685	Thamnophis-elegans	4	NA
group1686	Thamnophis-elegans	16	NA
group1687	Thamnophis-elegans	NA	NA
group1688	Thamnophis-elegans	2	NA
group1689	Thamnophis-elegans	2	OG0000325
group1690	Thamnophis-elegans	4	NA
group1691	Thamnophis-elegans	NA	NA
group1692	Thamnophis-elegans	4	OG0007107
group1693	Thamnophis-elegans	1	NA
group1694	Thamnophis-elegans	12	OG0009351
group1694	Thamnophis-elegans	12	OG0009352
group1695	Thamnophis-elegans	10	OG0011803
group1696	Thamnophis-elegans	6	NA
group1697	Thamnophis-elegans	Z	OG0001329
group1697	Thamnophis-elegans	Z	OG0002088
group1698	Thamnophis-elegans	NA	NA
group1699	Thamnophis-elegans	8	NA
group1700	Thamnophis-elegans	8	OG0012296
group1701	Thamnophis-elegans	NA	NA
group1702	Thamnophis-elegans	3	NA
group1703	Thamnophis-elegans	Z	OG0011158
group1704	Thamnophis-elegans	Z	NA
group1705	Thamnophis-elegans	NA	NA
group1706	Thamnophis-elegans	2	OG0005865
group1707	Thamnophis-elegans	2	OG0008458
group1708	Thamnophis-elegans	NA	NA
group1709	Thamnophis-elegans	2	OG0008448
group1710	Thamnophis-elegans	4	NA
group1711	Thamnophis-elegans	1	OG0001462
group1712	Thamnophis-elegans	12	OG0000238
group1712	Thamnophis-elegans	12	OG0005839
group1713	Thamnophis-elegans	7	OG0006148
group1714	Thamnophis-elegans	5	NA
group1715	Thamnophis-elegans	6	NA
group1716	Thamnophis-elegans	2	OG0011187
group1717	Thamnophis-elegans	11	NA
group1718	Thamnophis-elegans	7	OG0001545
group1718	Thamnophis-elegans	7	OG0010383
group1719	Thamnophis-elegans	13	NA
group1720	Thamnophis-elegans	12	NA
group1721	Thamnophis-elegans	5	NA
group1722	Thamnophis-elegans	10	OG0000833
group1723	Thamnophis-elegans	13	OG0000142
group1724	Thamnophis-elegans	2	OG0008465
group1724	Thamnophis-elegans	2	OG0015589
group1725	Thamnophis-elegans	14	NA
group1726	Thamnophis-elegans	5	OG0003062
group1727	Thamnophis-elegans	1	NA
group1728	Thamnophis-elegans	2	NA
group1729	Thamnophis-elegans	NA	NA
group1730	Thamnophis-elegans	NA	NA
group1731	Thamnophis-elegans	NA	NA
group1732	Thamnophis-elegans	14	OG0013437
group1733	Thamnophis-elegans	11	NA
group1734	Thamnophis-elegans	NA	NA
group1735	Thamnophis-elegans	4	OG0001651
group1736	Thamnophis-elegans	2	OG0000052
group1737	Thamnophis-elegans	4	NA
group1738	Thamnophis-elegans	1	OG0010166
group1739	Thamnophis-elegans	7	OG0006095
group1740	Thamnophis-elegans	3	OG0007299
group1741	Thamnophis-elegans	Z	OG0001426
group1742	Thamnophis-elegans	Z	OG0004605
group1743	Thamnophis-elegans	2	NA
group1744	Thamnophis-elegans	12	OG0002670
group1745	Thamnophis-elegans	1	OG0005491
group1746	Thamnophis-elegans	1	NA
group1747	Thamnophis-elegans	16	OG0008170
group1748	Thamnophis-elegans	Z	OG0000419
group1748	Thamnophis-elegans	Z	OG0000419
group1748	Thamnophis-elegans	Z	OG0001226
group1749	Thamnophis-elegans	2	OG0012361
group1749	Thamnophis-elegans	2	OG0015543
group1750	Thamnophis-elegans	6	OG0000681
group1750	Thamnophis-elegans	6	OG0015997
group1751	Thamnophis-elegans	2	OG0000150
group1751	Thamnophis-elegans	2	OG0006759
group1752	Thamnophis-elegans	2	OG0004261
group1753	Thamnophis-elegans	17	OG0003087
group1753	Thamnophis-elegans	17	OG0012501
group1754	Thamnophis-elegans	17	OG0007643
group1754	Thamnophis-elegans	17	OG0007644
group1755	Thamnophis-elegans	2	OG0001796
group1756	Thamnophis-elegans	2	OG0004260
group1757	Thamnophis-elegans	6	OG0007543
group1758	Thamnophis-elegans	6	NA
group1759	Thamnophis-elegans	12	OG0002094
group1760	Thamnophis-elegans	11	NA
group1761	Thamnophis-elegans	9	OG0007757
group1762	Thamnophis-elegans	8	OG0000478
group1763	Thamnophis-elegans	5	NA
group1764	Thamnophis-elegans	15	OG0010036
group1765	Thamnophis-elegans	2	OG0012416
group1765	Thamnophis-elegans	2	OG0012416
group1766	Thamnophis-elegans	12	OG0000059
group1766	Thamnophis-elegans	12	OG0015039
group1767	Thamnophis-elegans	NA	NA
group1768	Thamnophis-elegans	11	OG0009711
group1768	Thamnophis-elegans	11	OG0009712
group1769	Thamnophis-elegans	12	NA
group1770	Thamnophis-elegans	13	OG0001245
group1770	Thamnophis-elegans	13	OG0001245
group1771	Thamnophis-elegans	3	OG0000656
group1771	Thamnophis-elegans	3	OG0012379
group1772	Thamnophis-elegans	15	NA
group1773	Thamnophis-elegans	13	OG0005247
group1773	Thamnophis-elegans	13	OG0005248
group1774	Thamnophis-elegans	14	OG0012088
group1775	Thamnophis-elegans	Z	OG0004655
group1776	Thamnophis-elegans	16	OG0004384
group1777	Thamnophis-elegans	6	OG0007276
group1778	Thamnophis-elegans	1	OG0004866
group1779	Thamnophis-elegans	NA	NA
group1780	Thamnophis-elegans	1	OG0002918
group1781	Thamnophis-elegans	16	OG0005590
group1781	Thamnophis-elegans	16	OG0005591
group1781	Thamnophis-elegans	16	OG0005592
group1782	Thamnophis-elegans	15	OG0007695
group1782	Thamnophis-elegans	15	OG0007696
group1783	Thamnophis-elegans	NA	NA
group1784	Thamnophis-elegans	10	OG0011257
group1784	Thamnophis-elegans	10	OG0014942
group1785	Thamnophis-elegans	Z	OG0007467
group1786	Thamnophis-elegans	2	OG0003818
group1787	Thamnophis-elegans	2	OG0000133
group1787	Thamnophis-elegans	2	OG0000133
group1788	Thamnophis-elegans	9	NA
group1789	Thamnophis-elegans	12	OG0009950
group1790	Thamnophis-elegans	6	OG0011422
group1791	Thamnophis-elegans	6	OG0001077
group1791	Thamnophis-elegans	6	OG0012250
group1792	Thamnophis-elegans	14	OG0003368
group1793	Thamnophis-elegans	4	OG0001860
group1794	Thamnophis-elegans	16	OG0002470
group1794	Thamnophis-elegans	16	OG0009672
group1795	Thamnophis-elegans	1	NA
group1796	Thamnophis-elegans	3	OG0007829
group1797	Thamnophis-elegans	13	NA
group1798	Thamnophis-elegans	7	OG0000895
group1799	Thamnophis-elegans	Z	NA
group1800	Thamnophis-elegans	2	OG0004102
group1801	Thamnophis-elegans	12	OG0003266
group1802	Thamnophis-elegans	3	OG0009388
group1803	Thamnophis-elegans	3	OG0001432
group1804	Thamnophis-elegans	7	OG0009601
group1805	Thamnophis-elegans	1	OG0000001
group1805	Thamnophis-elegans	1	OG0000001
group1806	Thamnophis-elegans	NA	NA
group1807	Thamnophis-elegans	8	OG0005605
group1808	Thamnophis-elegans	14	OG0007429
group1809	Thamnophis-elegans	12	NA
group1810	Thamnophis-elegans	NA	NA
group1811	Thamnophis-elegans	2	OG0000906
group1812	Thamnophis-elegans	2	OG0000928
group1813	Thamnophis-elegans	17	NOG4465
group1814	Thamnophis-elegans	Z	OG0014362
group1815	Thamnophis-elegans	NA	NA
group1816	Thamnophis-elegans	14	OG0003394
group1817	Thamnophis-elegans	16	OG0008602
group1818	Thamnophis-elegans	13	OG0000387
group1819	Thamnophis-elegans	3	OG0000468
group1820	Thamnophis-elegans	Z	OG0000002
group1821	Thamnophis-elegans	9	OG0008142
group1822	Thamnophis-elegans	5	OG0006548
group1823	Thamnophis-elegans	Z	OG0012008
group1824	Thamnophis-elegans	1	OG0010291
group1825	Thamnophis-elegans	Z	OG0000007
group1826	Thamnophis-elegans	Z	OG0006030
group1827	Thamnophis-elegans	3	OG0003602
group1828	Thamnophis-elegans	2	NOG4317
group1829	Thamnophis-elegans	14	NA
