locus	species	contig	sense	start	end	chr	chr.id2	locus.id2
group1145	Naja-naja	CM019149.1	+	238384315	238397112	2	2	C2L271
group928	Naja-naja	CM019149.1	-	239104181	239112365	2	2	C2L272
group655	Naja-naja	CM019149.1	-	239485407	239486876	2	2	C2L273
group219	Naja-naja	CM019149.1	+	239745582	239760000	2	2	C2L274
group1634	Naja-naja	CM019149.1	+	240360002	240373217	2	2	C2L275
group1374	Naja-naja	CM019149.1	+	241140001	241144258	2	2	C2L276
group1131	Naja-naja	CM019149.1	-	241769597	241771120	2	2	C2L277
group467	Naja-naja	CM019149.1	+	242131673	242138707	2	2	C2L278
group1841	Naja-naja	CM019149.1	-	247777094	247779727	2	2	C2L279
group984	Naja-naja	CM019149.1	+	249301579	249303151	2	2	C2L280
group758	Naja-naja	CM019149.1	+	249505790	249513984	2	2	C2L281
group1075	Naja-naja	CM019149.1	+	249651426	249653049	2	2	C2L282
group1267	Naja-naja	CM019149.1	-	250163388	250177947	2	2	C2L283
group1969	Naja-naja	CM019149.1	+	250204093	250210424	2	2	C2L284
group917	Naja-naja	CM019149.1	+	250446242	250455377	2	2	C2L285
group1154	Naja-naja	CM019149.1	+	250497312	250499453	2	2	C2L286
group1214	Naja-naja	CM019149.1	+	250641851	250643556	2	2	C2L287
group127	Naja-naja	CM019149.1	-	254020687	254027191	2	2	C2L288
group1601	Naja-naja	CM019149.1	-	254545574	254558285	2	2	C2L289
group1057	Naja-naja	CM019149.1	+	257220489	257222806	2	2	C2L290
group818	Naja-naja	CM019149.1	-	260724570	260738734	2	2	C2L291
group1827	Naja-naja	CM019149.1	+	262835499	262840000	2	2	C2L292
group796	Naja-naja	CM019149.1	-	263048247	263060000	2	2	C2L293
group1107	Naja-naja	CM019149.1	-	263135862	263139887	2	2	C2L294
group1352	Naja-naja	CM019149.1	+	263323027	263330673	2	2	C2L295
group843	Naja-naja	CM019149.1	+	263331217	263339816	2	2	C2L296
group726	Naja-naja	CM019149.1	-	263408383	263419999	2	2	C2L297
group1354	Naja-naja	CM019149.1	-	263526006	263527509	2	2	C2L298
group1151	Naja-naja	CM019149.1	-	263700539	263704606	2	2	C2L299
group904	Naja-naja	CM019149.1	-	263789197	263790624	2	2	C2L300
group1404	Naja-naja	CM019149.1	-	263821060	263826491	2	2	C2L301
group1440	Naja-naja	CM019149.1	-	264103187	264119999	2	2	C2L302
group991	Naja-naja	CM019149.1	-	264687478	264697194	2	2	C2L303
group1281	Naja-naja	CM019149.1	-	264778715	264780000	2	2	C2L304
group847	Naja-naja	CM019149.1	-	265961197	265970026	2	2	C2L305
group2372	Naja-naja	CM019149.1	-	269414176	269419298	2	2	C2L306
group521	Naja-naja	CM019149.1	+	271022770	271039186	2	2	C2L307
group441	Naja-naja	CM019149.1	-	273740002	273759343	2	2	C2L308
group1095	Naja-naja	CM019149.1	-	274045973	274052132	2	2	C2L309
group163	Naja-naja	CM019149.1	-	274100001	274112654	2	2	C2L310
group752	Naja-naja	CM019149.1	-	274291804	274299422	2	2	C2L311
group1220	Naja-naja	CM019149.1	-	274328636	274340000	2	2	C2L312
group907	Naja-naja	CM019149.1	-	274384488	274389082	2	2	C2L313
group1027	Naja-naja	CM019149.1	-	274420110	274427108	2	2	C2L314
group1283	Naja-naja	CM019149.1	+	274482857	274485731	2	2	C2L315
group1315	Naja-naja	CM019149.1	-	276700001	276706515	2	2	C2L316
group909	Naja-naja	CM019149.1	+	277140002	277147652	2	2	C2L317
group2578	Naja-naja	CM019149.1	+	280954110	280960000	2	2	C2L318
group2309	Naja-naja	CM019149.1	+	281800050	281807066	2	2	C2L319
group1324	Naja-naja	CM019149.1	+	282671756	282674813	2	2	C2L320
group1130	Naja-naja	CM019149.1	+	282848655	282857564	2	2	C2L321
group638	Naja-naja	CM019149.1	+	283394459	283397959	2	2	C2L322
group1210	Naja-naja	CM019149.1	+	284415623	284420000	2	2	C2L323
group2446	Naja-naja	CM019149.1	+	285708561	285717722	2	2	C2L324
group497	Naja-naja	CM019149.1	+	285746486	285760000	2	2	C2L325
group2256	Naja-naja	CM019149.1	+	286922144	286932064	2	2	C2L326
group2239	Naja-naja	CM019149.1	+	287697055	287700000	2	2	C2L327
group1591	Naja-naja	CM019149.1	+	288464222	288479460	2	2	C2L328
group3040	Naja-naja	CM019149.1	-	289327357	289335345	2	2	C2L329
group299	Naja-naja	CM019149.1	-	289700002	289705635	2	2	C2L330
group88	Naja-naja	CM019149.1	-	296900001	296906745	2	2	C2L331
group3045	Naja-naja	CM019149.1	-	297380218	297392602	2	2	C2L332
group1034	Naja-naja	CM019149.1	-	303181129	303186068	2	2	C2L333
group19	Naja-naja	CM019149.1	-	305860002	305872234	2	2	C2L334
group3061	Naja-naja	CM019149.1	-	306349817	306360000	2	2	C2L335
group79	Naja-naja	CM019149.1	-	306544368	306558384	2	2	C2L336
group2793	Naja-naja	CM019149.1	-	306980001	306988997	2	2	C2L337
group434	Naja-naja	CM019149.1	-	308500001	308505395	2	2	C2L338
group1819	Naja-naja	CM019149.1	-	308751372	308755943	2	2	C2L339
group44	Naja-naja	CM019149.1	+	308922558	308925263	2	2	C2L340
group27	Naja-naja	CM019149.1	+	308955454	308960000	2	2	C2L341
group2478	Naja-naja	CM019149.1	+	309258613	309260000	2	2	C2L342
group3064	Naja-naja	CM019150.1	-	525009	528954	3	3	C3L1
group289	Naja-naja	CM019150.1	-	595638	598224	3	3	C3L2
group3013	Naja-naja	CM019150.1	-	783779	793370	3	3	C3L3
group2760	Naja-naja	CM019150.1	+	1120478	1139222	3	3	C3L4
group3021	Naja-naja	CM019150.1	+	1992360	1997581	3	3	C3L5
group162	Naja-naja	CM019150.1	-	2500054	2509037	3	3	C3L6
group2353	Naja-naja	CM019150.1	-	3364218	3379818	3	3	C3L7
group2471	Naja-naja	CM019150.1	-	4682189	4693231	3	3	C3L8
group2305	Naja-naja	CM019150.1	+	4820046	4832399	3	3	C3L9
group2405	Naja-naja	CM019150.1	-	4927142	4939999	3	3	C3L10
group397	Naja-naja	CM019150.1	-	7561266	7566706	3	3	C3L11
group295	Naja-naja	CM019150.1	+	11281538	11298204	3	3	C3L12
group564	Naja-naja	CM019150.1	+	13080001	13085753	3	3	C3L13
group325	Naja-naja	CM019150.1	-	16894374	16898587	3	3	C3L14
group1958	Naja-naja	CM019150.1	+	17400001	17401756	3	3	C3L15
group2421	Naja-naja	CM019150.1	+	21866932	21875376	3	3	C3L16
group1373	Naja-naja	CM019150.1	+	21900001	21902274	3	3	C3L17
group702	Naja-naja	CM019150.1	+	21905807	21918214	3	3	C3L18
group1321	Naja-naja	CM019150.1	-	22160001	22162126	3	3	C3L19
group1348	Naja-naja	CM019150.1	-	22175313	22178606	3	3	C3L20
group892	Naja-naja	CM019150.1	-	22206278	22217227	3	3	C3L21
group1369	Naja-naja	CM019150.1	-	22480544	22488342	3	3	C3L22
group2273	Naja-naja	CM019150.1	+	26041654	26054239	3	3	C3L23
group1838	Naja-naja	CM019150.1	-	27783715	27796059	3	3	C3L24
group322	Naja-naja	CM019150.1	-	28104484	28107638	3	3	C3L25
group1559	Naja-naja	CM019150.1	-	29300876	29314482	3	3	C3L26
group1274	Naja-naja	CM019150.1	-	30080962	30095327	3	3	C3L27
group1400	Naja-naja	CM019150.1	-	30162244	30173469	3	3	C3L28
group763	Naja-naja	CM019150.1	-	31450867	31460000	3	3	C3L29
group1763	Naja-naja	CM019150.1	-	37248080	37258120	3	3	C3L30
group1165	Naja-naja	CM019150.1	+	37383353	37388916	3	3	C3L31
group588	Naja-naja	CM019150.1	-	37949370	37958833	3	3	C3L32
group1082	Naja-naja	CM019150.1	-	38540232	38554073	3	3	C3L33
group298	Naja-naja	CM019150.1	-	38807012	38819767	3	3	C3L34
group2892	Naja-naja	CM019150.1	+	39341476	39353082	3	3	C3L35
group458	Naja-naja	CM019150.1	+	39350689	39360000	3	3	C3L36
group1860	Naja-naja	CM019150.1	+	39380135	39395549	3	3	C3L37
group2332	Naja-naja	CM019150.1	+	39802761	39810505	3	3	C3L38
group119	Naja-naja	CM019150.1	-	41282963	41291236	3	3	C3L39
group1592	Naja-naja	CM019150.1	+	42440001	42448471	3	3	C3L40
group101	Naja-naja	CM019150.1	-	42784808	42787469	3	3	C3L41
group2534	Naja-naja	CM019150.1	+	44211945	44220000	3	3	C3L42
group1520	Naja-naja	CM019150.1	+	45696607	45697828	3	3	C3L43
group940	Naja-naja	CM019150.1	+	46660001	46663360	3	3	C3L44
group370	Naja-naja	CM019150.1	-	47981202	47995712	3	3	C3L45
group1663	Naja-naja	CM019150.1	-	49563788	49565576	3	3	C3L46
group1664	Naja-naja	CM019150.1	-	51748284	51752764	3	3	C3L47
group2359	Naja-naja	CM019150.1	+	52320911	52334407	3	3	C3L48
group2448	Naja-naja	CM019150.1	-	53127383	53134007	3	3	C3L49
group1822	Naja-naja	CM019150.1	-	54040757	54047411	3	3	C3L50
group1945	Naja-naja	CM019150.1	+	56403121	56417042	3	3	C3L51
group2048	Naja-naja	CM019150.1	-	57120001	57123671	3	3	C3L52
group2211	Naja-naja	CM019150.1	-	57500007	57511925	3	3	C3L53
group147	Naja-naja	CM019150.1	+	58429272	58438364	3	3	C3L54
group2627	Naja-naja	CM019150.1	-	58960271	58974782	3	3	C3L55
group2550	Naja-naja	CM019150.1	+	59640001	59647907	3	3	C3L56
group2814	Naja-naja	CM019150.1	+	59660001	59666463	3	3	C3L57
group2986	Naja-naja	CM019150.1	+	59704652	59709710	3	3	C3L58
group1638	Naja-naja	CM019150.1	-	60156557	60160000	3	3	C3L59
group2062	Naja-naja	CM019150.1	-	60390349	60400000	3	3	C3L60
group2014	Naja-naja	CM019150.1	-	60780326	60796849	3	3	C3L61
group1056	Naja-naja	CM019150.1	-	61120001	61125611	3	3	C3L62
group60	Naja-naja	CM019150.1	-	61450493	61459999	3	3	C3L63
group2027	Naja-naja	CM019150.1	+	61512149	61518589	3	3	C3L64
group676	Naja-naja	CM019150.1	+	62020001	62022611	3	3	C3L65
group658	Naja-naja	CM019150.1	-	62231056	62239723	3	3	C3L66
group945	Naja-naja	CM019150.1	-	62244930	62254018	3	3	C3L67
group1033	Naja-naja	CM019150.1	-	62304607	62317425	3	3	C3L68
group1613	Naja-naja	CM019150.1	-	62308611	62318481	3	3	C3L69
group1076	Naja-naja	CM019150.1	+	62497568	62500000	3	3	C3L70
group1110	Naja-naja	CM019150.1	+	63228741	63237031	3	3	C3L71
group402	Naja-naja	CM019150.1	-	64403417	64410729	3	3	C3L72
group2724	Naja-naja	CM019150.1	-	65143057	65144599	3	3	C3L73
group1297	Naja-naja	CM019150.1	+	65655549	65658078	3	3	C3L74
group1329	Naja-naja	CM019150.1	-	66460001	66464918	3	3	C3L75
group1192	Naja-naja	CM019150.1	+	67222467	67224324	3	3	C3L76
group1437	Naja-naja	CM019150.1	+	67700001	67712076	3	3	C3L77
group996	Naja-naja	CM019150.1	+	67720001	67734724	3	3	C3L78
group1296	Naja-naja	CM019150.1	+	69642610	69656250	3	3	C3L79
group2725	Naja-naja	CM019150.1	-	70080001	70086549	3	3	C3L80
group1951	Naja-naja	CM019150.1	-	71101914	71116457	3	3	C3L81
group1527	Naja-naja	CM019150.1	-	72285856	72289948	3	3	C3L82
group703	Naja-naja	CM019150.1	-	72800001	72813854	3	3	C3L83
group1353	Naja-naja	CM019150.1	-	73161063	73166407	3	3	C3L84
group2073	Naja-naja	CM019150.1	-	73168722	73179999	3	3	C3L85
group939	Naja-naja	CM019150.1	-	73331582	73335342	3	3	C3L86
group2057	Naja-naja	CM019150.1	-	73394018	73397696	3	3	C3L87
group637	Naja-naja	CM019150.1	-	73421631	73440000	3	3	C3L88
group1206	Naja-naja	CM019150.1	-	73520001	73523038	3	3	C3L89
group922	Naja-naja	CM019150.1	-	74200001	74217732	3	3	C3L90
group757	Naja-naja	CM019150.1	-	74217617	74219555	3	3	C3L91
group753	Naja-naja	CM019150.1	-	74307401	74318150	3	3	C3L92
group1459	Naja-naja	CM019150.1	-	74362017	74379182	3	3	C3L93
group1345	Naja-naja	CM019150.1	-	74420001	74424888	3	3	C3L94
group1625	Naja-naja	CM019150.1	-	74832289	74840000	3	3	C3L95
group620	Naja-naja	CM019150.1	-	76229216	76239999	3	3	C3L96
group345	Naja-naja	CM019150.1	+	76568477	76580000	3	3	C3L97
group1553	Naja-naja	CM019150.1	-	76600252	76607659	3	3	C3L98
group1721	Naja-naja	CM019150.1	+	78212673	78220000	3	3	C3L99
group1985	Naja-naja	CM019150.1	-	79484167	79497838	3	3	C3L100
group1302	Naja-naja	CM019150.1	+	80346617	80360000	3	3	C3L101
group1433	Naja-naja	CM019150.1	-	82646518	82658031	3	3	C3L102
group1316	Naja-naja	CM019150.1	-	83165676	83167129	3	3	C3L103
group2100	Naja-naja	CM019150.1	+	83401444	83417079	3	3	C3L104
group2049	Naja-naja	CM019150.1	+	83606280	83613715	3	3	C3L105
group1307	Naja-naja	CM019150.1	+	84203605	84218317	3	3	C3L106
group617	Naja-naja	CM019150.1	-	86351113	86359997	3	3	C3L107
group1012	Naja-naja	CM019150.1	+	86796804	86799999	3	3	C3L108
group1408	Naja-naja	CM019150.1	+	87030163	87033770	3	3	C3L109
group1005	Naja-naja	CM019150.1	-	87380002	87395122	3	3	C3L110
group789	Naja-naja	CM019150.1	-	87460001	87465622	3	3	C3L111
group1009	Naja-naja	CM019150.1	-	87482287	87495569	3	3	C3L112
group864	Naja-naja	CM019150.1	-	88212270	88219968	3	3	C3L113
group1205	Naja-naja	CM019150.1	-	88480002	88484183	3	3	C3L114
group1429	Naja-naja	CM019150.1	-	88486848	88495683	3	3	C3L115
group670	Naja-naja	CM019150.1	-	88628985	88630688	3	3	C3L116
group1118	Naja-naja	CM019150.1	-	91690086	91693603	3	3	C3L117
group699	Naja-naja	CM019150.1	-	91729219	91736194	3	3	C3L118
group1286	Naja-naja	CM019150.1	-	92460001	92467601	3	3	C3L119
group554	Naja-naja	CM019150.1	-	93611177	93620000	3	3	C3L120
group1501	Naja-naja	CM019150.1	+	93627449	93639924	3	3	C3L121
group1395	Naja-naja	CM019150.1	+	97600001	97614545	3	3	C3L122
group1726	Naja-naja	CM019150.1	-	98460648	98480000	3	3	C3L123
group1299	Naja-naja	CM019150.1	-	99201038	99202645	3	3	C3L124
group1442	Naja-naja	CM019150.1	-	99909148	99917150	3	3	C3L125
group3067	Naja-naja	CM019150.1	-	100803525	100819808	3	3	C3L126
group1511	Naja-naja	CM019150.1	-	101453245	101460000	3	3	C3L127
group2861	Naja-naja	CM019150.1	-	101587605	101597009	3	3	C3L128
group2036	Naja-naja	CM019150.1	-	101587688	101600000	3	3	C3L129
group488	Naja-naja	CM019150.1	-	101621126	101639683	3	3	C3L130
group927	Naja-naja	CM019150.1	+	105660995	105662444	3	3	C3L131
group2629	Naja-naja	CM019150.1	+	107382538	107400000	3	3	C3L132
group1760	Naja-naja	CM019150.1	-	108609293	108619999	3	3	C3L133
group1768	Naja-naja	CM019150.1	+	109623237	109639818	3	3	C3L134
group1320	Naja-naja	CM019150.1	-	111167358	111173920	3	3	C3L135
group1655	Naja-naja	CM019150.1	+	111252508	111260000	3	3	C3L136
group487	Naja-naja	CM019150.1	-	112180686	112197737	3	3	C3L137
group1176	Naja-naja	CM019150.1	-	113200001	113213018	3	3	C3L138
group1717	Naja-naja	CM019150.1	+	113440001	113446562	3	3	C3L139
group2580	Naja-naja	CM019150.1	+	119400002	119403944	3	3	C3L140
group1750	Naja-naja	CM019150.1	+	121680001	121682877	3	3	C3L141
group1237	Naja-naja	CM019150.1	-	122582188	122583817	3	3	C3L142
group1422	Naja-naja	CM019150.1	-	124660037	124661906	3	3	C3L143
group1398	Naja-naja	CM019150.1	-	125046951	125051873	3	3	C3L144
group728	Naja-naja	CM019150.1	-	125118016	125120000	3	3	C3L145
group1480	Naja-naja	CM019150.1	+	125288849	125290584	3	3	C3L146
group1777	Naja-naja	CM019150.1	+	125900002	125905086	3	3	C3L147
group2722	Naja-naja	CM019150.1	-	125983580	125995179	3	3	C3L148
group1262	Naja-naja	CM019150.1	-	127827419	127834912	3	3	C3L149
group802	Naja-naja	CM019150.1	-	127907322	127908605	3	3	C3L150
group717	Naja-naja	CM019150.1	+	128222147	128234919	3	3	C3L151
group1213	Naja-naja	CM019150.1	-	128260002	128268326	3	3	C3L152
group1379	Naja-naja	CM019150.1	+	128460001	128469383	3	3	C3L153
group1432	Naja-naja	CM019150.1	-	128932370	128933717	3	3	C3L154
group1758	Naja-naja	CM019150.1	+	129440001	129459131	3	3	C3L155
group1593	Naja-naja	CM019150.1	-	140380004	140388353	3	3	C3L156
group1218	Naja-naja	CM019150.1	+	140967457	140976549	3	3	C3L157
group1585	Naja-naja	CM019150.1	+	142560404	142575986	3	3	C3L158
group357	Naja-naja	CM019150.1	+	143540002	143557685	3	3	C3L159
group3094	Naja-naja	CM019150.1	+	144865383	144880000	3	3	C3L160
group241	Naja-naja	CM019150.1	+	146237127	146240000	3	3	C3L161
group3050	Naja-naja	CM019150.1	-	146686395	146687168	3	3	C3L162
group1671	Naja-naja	CM019150.1	-	148024867	148038418	3	3	C3L163
group643	Naja-naja	CM019150.1	+	148895003	148896704	3	3	C3L164
group862	Naja-naja	CM019150.1	+	149105257	149119433	3	3	C3L165
group1455	Naja-naja	CM019150.1	-	149241196	149249791	3	3	C3L166
group983	Naja-naja	CM019150.1	-	149340001	149344610	3	3	C3L167
group1209	Naja-naja	CM019150.1	+	149580711	149587392	3	3	C3L168
group85	Naja-naja	CM019150.1	+	149942610	149954533	3	3	C3L169
group2941	Naja-naja	CM019150.1	-	150454877	150458242	3	3	C3L170
group1361	Naja-naja	CM019150.1	+	151389120	151398865	3	3	C3L171
group693	Naja-naja	CM019150.1	-	153651384	153660000	3	3	C3L172
group698	Naja-naja	CM019150.1	+	153940146	153951160	3	3	C3L173
group1967	Naja-naja	CM019150.1	-	155140144	155159947	3	3	C3L174
group1129	Naja-naja	CM019150.1	+	155682817	155687196	3	3	C3L175
group2377	Naja-naja	CM019150.1	-	156392247	156398187	3	3	C3L176
group1143	Naja-naja	CM019150.1	+	157032477	157039249	3	3	C3L177
group858	Naja-naja	CM019150.1	-	157200001	157210464	3	3	C3L178
group1338	Naja-naja	CM019150.1	-	157421559	157431867	3	3	C3L179
group1094	Naja-naja	CM019150.1	-	157472823	157479747	3	3	C3L180
group731	Naja-naja	CM019150.1	-	157483324	157486528	3	3	C3L181
group1402	Naja-naja	CM019150.1	+	157577038	157579975	3	3	C3L182
group1093	Naja-naja	CM019150.1	-	157800001	157814522	3	3	C3L183
group641	Naja-naja	CM019150.1	-	158700001	158705769	3	3	C3L184
group1180	Naja-naja	CM019150.1	+	159042752	159044061	3	3	C3L185
group1179	Naja-naja	CM019150.1	+	159230392	159240000	3	3	C3L186
group841	Naja-naja	CM019150.1	+	159272938	159277368	3	3	C3L187
group1041	Naja-naja	CM019150.1	+	159310588	159319709	3	3	C3L188
group760	Naja-naja	CM019150.1	+	159401470	159410611	3	3	C3L189
group735	Naja-naja	CM019150.1	+	159412430	159415271	3	3	C3L190
group1166	Naja-naja	CM019150.1	+	159505830	159520000	3	3	C3L191
group771	Naja-naja	CM019150.1	+	159665163	159670067	3	3	C3L192
group1466	Naja-naja	CM019150.1	+	159694602	159700000	3	3	C3L193
group954	Naja-naja	CM019150.1	+	159708642	159715286	3	3	C3L194
group1272	Naja-naja	CM019150.1	+	159721358	159722666	3	3	C3L195
group1401	Naja-naja	CM019150.1	+	159774639	159776208	3	3	C3L196
group811	Naja-naja	CM019150.1	+	159840001	159841136	3	3	C3L197
group1552	Naja-naja	CM019150.1	-	165312809	165320000	3	3	C3L198
group1060	Naja-naja	CM019150.1	-	165456416	165457862	3	3	C3L199
group1153	Naja-naja	CM019150.1	-	167356150	167357581	3	3	C3L200
group838	Naja-naja	CM019150.1	-	167680001	167686848	3	3	C3L201
group1632	Naja-naja	CM019150.1	+	168400001	168404922	3	3	C3L202
group2110	Naja-naja	CM019150.1	+	168665989	168676064	3	3	C3L203
group2827	Naja-naja	CM019150.1	+	169441122	169450718	3	3	C3L204
group2039	Naja-naja	CM019150.1	-	169586123	169588572	3	3	C3L205
group2171	Naja-naja	CM019150.1	-	171427404	171440000	3	3	C3L206
group1656	Naja-naja	CM019150.1	+	171691482	171699656	3	3	C3L207
group782	Naja-naja	CM019150.1	+	172072503	172075009	3	3	C3L208
group1392	Naja-naja	CM019150.1	-	172100001	172105658	3	3	C3L209
group1000	Naja-naja	CM019150.1	+	172400456	172402195	3	3	C3L210
group793	Naja-naja	CM019150.1	+	172580001	172586107	3	3	C3L211
group926	Naja-naja	CM019150.1	+	172669447	172679473	3	3	C3L212
group1407	Naja-naja	CM019150.1	+	172862294	172873064	3	3	C3L213
group259	Naja-naja	CM019150.1	-	174820404	174826815	3	3	C3L214
group465	Naja-naja	CM019150.1	+	174967272	174980000	3	3	C3L215
group461	Naja-naja	CM019150.1	-	175021162	175032902	3	3	C3L216
group706	Naja-naja	CM019150.1	+	175553692	175555184	3	3	C3L217
group1333	Naja-naja	CM019150.1	+	175584269	175588193	3	3	C3L218
group819	Naja-naja	CM019150.1	+	175620001	175634871	3	3	C3L219
group647	Naja-naja	CM019150.1	+	175637440	175639999	3	3	C3L220
group745	Naja-naja	CM019150.1	+	175641155	175643583	3	3	C3L221
group1115	Naja-naja	CM019150.1	-	175780002	175783446	3	3	C3L222
group1021	Naja-naja	CM019150.1	+	175886970	175888659	3	3	C3L223
group478	Naja-naja	CM019150.1	+	176573729	176576368	3	3	C3L224
group1271	Naja-naja	CM019150.1	+	176869958	176879234	3	3	C3L225
group1670	Naja-naja	CM019150.1	+	177061330	177067081	3	3	C3L226
group846	Naja-naja	CM019150.1	-	177843731	177859871	3	3	C3L227
group1475	Naja-naja	CM019150.1	-	177915232	177917779	3	3	C3L228
group1699	Naja-naja	CM019150.1	-	178648451	178650811	3	3	C3L229
group1566	Naja-naja	CM019150.1	+	178781116	178789004	3	3	C3L230
group1700	Naja-naja	CM019150.1	+	179612161	179619998	3	3	C3L231
group1530	Naja-naja	CM019150.1	-	179613009	179618313	3	3	C3L232
group686	Naja-naja	CM019150.1	-	179627803	179629388	3	3	C3L233
group1387	Naja-naja	CM019150.1	+	180333076	180338422	3	3	C3L234
group1170	Naja-naja	CM019150.1	-	180411430	180419761	3	3	C3L235
group762	Naja-naja	CM019150.1	+	180520003	180526407	3	3	C3L236
group668	Naja-naja	CM019150.1	-	180724917	180735239	3	3	C3L237
group1762	Naja-naja	CM019150.1	-	182020001	182038089	3	3	C3L238
group786	Naja-naja	CM019150.1	-	182920563	182938860	3	3	C3L239
group1203	Naja-naja	CM019150.1	-	182923088	182940000	3	3	C3L240
group2954	Naja-naja	CM019150.1	-	184570996	184574761	3	3	C3L241
group1560	Naja-naja	CM019150.1	-	185113945	185119691	3	3	C3L242
group1436	Naja-naja	CM019150.1	+	186484377	186488528	3	3	C3L243
group1231	Naja-naja	CM019150.1	+	186520001	186526510	3	3	C3L244
group801	Naja-naja	CM019150.1	+	186594613	186600000	3	3	C3L245
group1026	Naja-naja	CM019150.1	+	186690840	186692207	3	3	C3L246
group2367	Naja-naja	CM019150.1	+	186732820	186736435	3	3	C3L247
group1443	Naja-naja	CM019150.1	+	186844396	186853624	3	3	C3L248
group721	Naja-naja	CM019150.1	+	186952341	186954062	3	3	C3L249
group1263	Naja-naja	CM019150.1	+	186997276	186999999	3	3	C3L250
group1471	Naja-naja	CM019150.1	+	187027092	187039997	3	3	C3L251
group1121	Naja-naja	CM019150.1	+	187107278	187112254	3	3	C3L252
group730	Naja-naja	CM019150.1	+	187156691	187158483	3	3	C3L253
group2877	Naja-naja	CM019150.1	-	190360001	190368525	3	3	C3L254
group962	Naja-naja	CM019150.1	+	192280001	192289029	3	3	C3L255
group663	Naja-naja	CM019150.1	+	192336841	192338828	3	3	C3L256
group632	Naja-naja	CM019150.1	+	192580001	192593309	3	3	C3L257
group1175	Naja-naja	CM019150.1	+	192603135	192604567	3	3	C3L258
group780	Naja-naja	CM019150.1	+	192669686	192679689	3	3	C3L259
group1295	Naja-naja	CM019150.1	-	192903764	192911547	3	3	C3L260
group1172	Naja-naja	CM019150.1	+	193131499	193140000	3	3	C3L261
group616	Naja-naja	CM019150.1	+	193234723	193240000	3	3	C3L262
group1349	Naja-naja	CM019150.1	+	193507542	193508764	3	3	C3L263
group776	Naja-naja	CM019150.1	-	195568349	195569973	3	3	C3L264
group1326	Naja-naja	CM019150.1	+	195586087	195587364	3	3	C3L265
group859	Naja-naja	CM019150.1	+	197456789	197459999	3	3	C3L266
group1097	Naja-naja	CM019150.1	+	197587787	197600000	3	3	C3L267
group1007	Naja-naja	CM019150.1	+	197711833	197720000	3	3	C3L268
group901	Naja-naja	CM019150.1	-	197798087	197799453	3	3	C3L269
group707	Naja-naja	CM019150.1	+	197860103	197875149	3	3	C3L270
group952	Naja-naja	CM019150.1	+	197861373	197874348	3	3	C3L271
group788	Naja-naja	CM019150.1	+	197880009	197889216	3	3	C3L272
group912	Naja-naja	CM019150.1	-	197902129	197905635	3	3	C3L273
group974	Naja-naja	CM019150.1	-	202167152	202176536	3	3	C3L274
group417	Naja-naja	CM019150.1	-	202361032	202369964	3	3	C3L275
group694	Naja-naja	CM019150.1	-	203020535	203032798	3	3	C3L276
group2030	Naja-naja	CM019150.1	+	206200224	206214291	3	3	C3L277
group2169	Naja-naja	CM019150.1	+	208725393	208728811	3	3	C3L278
group1273	Naja-naja	CM019150.1	+	210220151	210230817	3	3	C3L279
group1923	Naja-naja	CM019150.1	-	213140085	213147987	3	3	C3L280
group2492	Naja-naja	CM019150.1	-	215146715	215156610	3	3	C3L281
group166	Naja-naja	CM019150.1	+	215262068	215277432	3	3	C3L282
group1955	Naja-naja	CM019150.1	-	215288974	215299809	3	3	C3L283
group2975	Naja-naja	CM019150.1	-	215365564	215377470	3	3	C3L284
group444	Naja-naja	CM019150.1	+	216520435	216540000	3	3	C3L285
group1807	Naja-naja	CM019150.1	+	221641877	221652990	3	3	C3L286
group2903	Naja-naja	CM019150.1	-	221800001	221807035	3	3	C3L287
group1872	Naja-naja	CM019150.1	+	222100956	222109787	3	3	C3L288
group2538	Naja-naja	CM019150.1	+	222567546	222579913	3	3	C3L289
group297	Naja-naja	CM019150.1	-	222787451	222798601	3	3	C3L290
group2753	Naja-naja	CM019150.1	-	223023514	223028999	3	3	C3L291
group3011	Naja-naja	CM019150.1	-	223100001	223101462	3	3	C3L292
group242	Naja-naja	CM019150.1	-	223198737	223200000	3	3	C3L293
group38	Naja-naja	CM019150.1	-	223250794	223252928	3	3	C3L294
group3031	Naja-naja	CM019150.1	-	223386740	223400000	3	3	C3L295
group1921	Naja-naja	CM019151.1	+	2767965	2780000	4	4	C4L1
group11	Naja-naja	CM019151.1	-	7709456	7713350	4	4	C4L2
group1269	Naja-naja	CM019151.1	-	8640001	8652750	4	4	C4L3
group1852	Naja-naja	CM019151.1	+	8882666	8886062	4	4	C4L4
group1564	Naja-naja	CM019151.1	-	8900001	8907832	4	4	C4L5
group2244	Naja-naja	CM019151.1	-	9160375	9162993	4	4	C4L6
group532	Naja-naja	CM019151.1	-	9200001	9205432	4	4	C4L7
group2361	Naja-naja	CM019151.1	-	9205750	9220000	4	4	C4L8
group479	Naja-naja	CM019151.1	-	9380002	9388997	4	4	C4L9
group2940	Naja-naja	CM019151.1	-	10460051	10479833	4	4	C4L10
group584	Naja-naja	CM019151.1	-	10607080	10619999	4	4	C4L11
group168	Naja-naja	CM019151.1	+	10807679	10820000	4	4	C4L12
group225	Naja-naja	CM019151.1	-	11044377	11051790	4	4	C4L13
group513	Naja-naja	CM019151.1	+	11980969	11989824	4	4	C4L14
